年代,性別,因子1,因子2,評判,値段,サイズ,アルコール度数,色,アロマ,味わい
50代,女性,-1.634392208,0.194683966,40,75,50,95,0,0,40
50代,女性,-1.634392208,0.194683966,40,75,50,95,0,0,40
50代,女性,-1.634392208,0.194683966,40,75,50,95,0,0,40
50代,女性,-1.634392208,0.194683966,40,75,50,95,0,0,40
50代,男性,-1.634392208,0.194683966,40,75,50,95,0,0,40
50代,女性,-1.634392208,0.194683966,40,75,50,95,0,0,40
50代,男性,-1.634392208,0.194683966,40,75,50,95,0,0,40
50代,男性,-1.634392208,0.194683966,40,75,50,95,0,0,40
50代,男性,-1.634392208,0.194683966,40,75,50,95,0,0,40
50代,男性,-1.634392208,0.194683966,40,75,50,95,0,0,40
50代,男性,-1.634392208,0.194683966,40,75,50,95,0,0,40
20代,女性,-1.33124883,-0.860732726,50,50,15,20,10,5,50
20代,女性,-1.33124883,-0.860732726,50,50,15,20,10,5,50
20代,男性,-1.33124883,-0.860732726,50,50,15,20,10,5,50
20代,男性,-1.33124883,-0.860732726,50,50,15,20,10,5,50
20代,女性,-1.33124883,-0.860732726,50,50,15,20,10,5,50
20代,女性,-1.33124883,-0.860732726,50,50,15,20,10,5,50
20代,女性,-1.33124883,-0.860732726,50,50,15,20,10,5,50
20代,女性,-1.33124883,-0.860732726,50,50,15,20,10,5,50
20代,女性,-1.33124883,-0.860732726,50,50,15,20,10,5,50
20代,女性,-1.33124883,-0.860732726,50,50,15,20,10,5,50
20代,女性,-1.33124883,-0.860732726,50,50,15,20,10,5,50
50代,男性,-1.442631808,0.449165553,75,70,60,70,10,15,25
50代,男性,-1.442631808,0.449165553,75,70,60,70,10,15,25
50代,男性,-1.442631808,0.449165553,75,70,60,70,10,15,25
50代,男性,-1.442631808,0.449165553,75,70,60,70,10,15,25
50代,男性,-1.442631808,0.449165553,75,70,60,70,10,15,25
50代,男性,-1.442631808,0.449165553,75,70,60,70,10,15,25
50代,男性,-1.442631808,0.449165553,75,70,60,70,10,15,25
50代,男性,-1.442631808,0.449165553,75,70,60,70,10,15,25
50代,男性,-1.442631808,0.449165553,75,70,60,70,10,15,25
50代,男性,-1.442631808,0.449165553,75,70,60,70,10,15,25
50代,男性,-1.442631808,0.449165553,75,70,60,70,10,15,25
20代,男性,-1.326725265,-0.880165109,75,5,15,15,20,10,25
20代,男性,-1.326725265,-0.880165109,75,5,15,15,20,10,25
20代,男性,-1.326725265,-0.880165109,75,5,15,15,20,10,25
20代,男性,-1.326725265,-0.880165109,75,5,15,15,20,10,25
20代,男性,-1.326725265,-0.880165109,75,5,15,15,20,10,25
20代,男性,-1.326725265,-0.880165109,75,5,15,15,20,10,25
20代,男性,-1.326725265,-0.880165109,75,5,15,15,20,10,25
20代,男性,-1.326725265,-0.880165109,75,5,15,15,20,10,25
20代,男性,-1.326725265,-0.880165109,75,5,15,15,20,10,25
20代,男性,-1.326725265,-0.880165109,75,5,15,15,20,10,25
20代,男性,-1.326725265,-0.880165109,75,5,15,15,20,10,25
30代,男性,-0.713662193,-1.015560366,35,20,10,25,30,35,45
30代,男性,-0.713662193,-1.015560366,35,20,10,25,30,35,45
30代,男性,-0.713662193,-1.015560366,35,20,10,25,30,35,45
30代,男性,-0.713662193,-1.015560366,35,20,10,25,30,35,45
30代,女性,-0.713662193,-1.015560366,35,20,10,25,30,35,45
30代,女性,-0.713662193,-1.015560366,35,20,10,25,30,35,45
30代,女性,-0.713662193,-1.015560366,35,20,10,25,30,35,45
30代,女性,-0.713662193,-1.015560366,35,20,10,25,30,35,45
30代,女性,-0.713662193,-1.015560366,35,20,10,25,30,35,45
30代,女性,-0.713662193,-1.015560366,35,20,10,25,30,35,45
30代,女性,-0.713662193,-1.015560366,35,20,10,25,30,35,45
20代,男性,-0.505305987,0.703574616,50,80,70,50,40,20,50
20代,男性,-0.505305987,0.703574616,50,80,70,50,40,20,50
20代,男性,-0.505305987,0.703574616,50,80,70,50,40,20,50
20代,男性,-0.505305987,0.703574616,50,80,70,50,40,20,50
20代,男性,-0.505305987,0.703574616,50,80,70,50,40,20,50
20代,男性,-0.505305987,0.703574616,50,80,70,50,40,20,50
20代,男性,-0.505305987,0.703574616,50,80,70,50,40,20,50
20代,男性,-0.505305987,0.703574616,50,80,70,50,40,20,50
20代,男性,-0.505305987,0.703574616,50,80,70,50,40,20,50
20代,男性,-0.505305987,0.703574616,50,80,70,50,40,20,50
20代,男性,-0.505305987,0.703574616,50,80,70,50,40,20,50
30代,女性,-0.521160463,-0.890981811,85,10,15,20,40,30,50
30代,女性,-0.521160463,-0.890981811,85,10,15,20,40,30,50
30代,女性,-0.521160463,-0.890981811,85,10,15,20,40,30,50
30代,女性,-0.521160463,-0.890981811,85,10,15,20,40,30,50
30代,女性,-0.521160463,-0.890981811,85,10,15,20,40,30,50
30代,女性,-0.521160463,-0.890981811,85,10,15,20,40,30,50
30代,女性,-0.521160463,-0.890981811,85,10,15,20,40,30,50
30代,女性,-0.521160463,-0.890981811,85,10,15,20,40,30,50
30代,女性,-0.521160463,-0.890981811,85,10,15,20,40,30,50
30代,女性,-0.521160463,-0.890981811,85,10,15,20,40,30,50
30代,女性,-0.521160463,-0.890981811,85,10,15,20,40,30,50
30代,女性,-0.213851393,-0.319925174,40,25,35,30,45,30,65
30代,女性,-0.213851393,-0.319925174,40,25,35,30,45,30,65
30代,女性,-0.213851393,-0.319925174,40,25,35,30,45,30,65
30代,女性,-0.213851393,-0.319925174,40,25,35,30,45,30,65
30代,女性,-0.213851393,-0.319925174,40,25,35,30,45,30,65
30代,女性,-0.213851393,-0.319925174,40,25,35,30,45,30,65
30代,女性,-0.213851393,-0.319925174,40,25,35,30,45,30,65
30代,女性,-0.213851393,-0.319925174,40,25,35,30,45,30,65
30代,女性,-0.213851393,-0.319925174,40,25,35,30,45,30,65
30代,女性,-0.213851393,-0.319925174,40,25,35,30,45,30,65
30代,女性,-0.213851393,-0.319925174,40,25,35,30,45,30,65
20代,男性,0.238487095,0.991161447,20,90,80,70,50,70,60
20代,男性,0.238487095,0.991161447,20,90,80,70,50,70,60
20代,男性,0.238487095,0.991161447,20,90,80,70,50,70,60
20代,男性,0.238487095,0.991161447,20,90,80,70,50,70,60
20代,男性,0.238487095,0.991161447,20,90,80,70,50,70,60
20代,男性,0.238487095,0.991161447,20,90,80,70,50,70,60
20代,男性,0.238487095,0.991161447,20,90,80,70,50,70,60
20代,男性,0.238487095,0.991161447,20,90,80,70,50,70,60
20代,男性,0.238487095,0.991161447,20,90,80,70,50,70,60
20代,男性,0.238487095,0.991161447,20,90,80,70,50,70,60
20代,男性,0.238487095,0.991161447,20,90,80,70,50,70,60
30代,女性,-0.124467105,-0.627929613,100,10,25,10,50,40,60
30代,女性,-0.124467105,-0.627929613,100,10,25,10,50,40,60
30代,女性,-0.124467105,-0.627929613,100,10,25,10,50,40,60
30代,女性,-0.124467105,-0.627929613,100,10,25,10,50,40,60
30代,女性,-0.124467105,-0.627929613,100,10,25,10,50,40,60
30代,女性,-0.124467105,-0.627929613,100,10,25,10,50,40,60
30代,女性,-0.124467105,-0.627929613,100,10,25,10,50,40,60
30代,女性,-0.124467105,-0.627929613,100,10,25,10,50,40,60
30代,女性,-0.124467105,-0.627929613,100,10,25,10,50,40,60
30代,女性,-0.124467105,-0.627929613,100,10,25,10,50,40,60
30代,女性,-0.124467105,-0.627929613,100,10,25,10,50,40,60
20代,男性,0.142822658,1.42850082,50,75,95,100,55,40,65
20代,男性,0.142822658,1.42850082,50,75,95,100,55,40,65
20代,男性,0.142822658,1.42850082,50,75,95,100,55,40,65
20代,男性,0.142822658,1.42850082,50,75,95,100,55,40,65
20代,男性,0.142822658,1.42850082,50,75,95,100,55,40,65
20代,男性,0.142822658,1.42850082,50,75,95,100,55,40,65
20代,男性,0.142822658,1.42850082,50,75,95,100,55,40,65
20代,男性,0.142822658,1.42850082,50,75,95,100,55,40,65
20代,男性,0.142822658,1.42850082,50,75,95,100,55,40,65
20代,男性,0.142822658,1.42850082,50,75,95,100,55,40,65
20代,男性,0.142822658,1.42850082,50,75,95,100,55,40,65
30代,女性,0.316281916,-1.054883234,65,5,10,15,50,65,85
30代,女性,0.316281916,-1.054883234,65,5,10,15,50,65,85
30代,女性,0.316281916,-1.054883234,65,5,10,15,50,65,85
30代,女性,0.316281916,-1.054883234,65,5,10,15,50,65,85
30代,女性,0.316281916,-1.054883234,65,5,10,15,50,65,85
30代,女性,0.316281916,-1.054883234,65,5,10,15,50,65,85
30代,女性,0.316281916,-1.054883234,65,5,10,15,50,65,85
30代,女性,0.316281916,-1.054883234,65,5,10,15,50,65,85
30代,女性,0.316281916,-1.054883234,65,5,10,15,50,65,85
30代,女性,0.316281916,-1.054883234,65,5,10,15,50,65,85
30代,女性,0.316281916,-1.054883234,65,5,10,15,50,65,85
20代,男性,0.314194312,0.987340957,40,85,80,70,60,50,65
20代,男性,0.314194312,0.987340957,40,85,80,70,60,50,65
20代,男性,0.314194312,0.987340957,40,85,80,70,60,50,65
20代,男性,0.314194312,0.987340957,40,85,80,70,60,50,65
20代,男性,0.314194312,0.987340957,40,85,80,70,60,50,65
20代,男性,0.314194312,0.987340957,40,85,80,70,60,50,65
20代,男性,0.314194312,0.987340957,40,85,80,70,60,50,65
20代,男性,0.314194312,0.987340957,40,85,80,70,60,50,65
20代,男性,0.314194312,0.987340957,40,85,80,70,60,50,65
20代,男性,0.314194312,0.987340957,40,85,80,70,60,50,65
20代,男性,0.314194312,0.987340957,40,85,80,70,60,50,65
30代,女性,0.498089493,-1.192969086,40,20,5,10,60,50,95
30代,女性,0.498089493,-1.192969086,40,20,5,10,60,50,95
30代,女性,0.498089493,-1.192969086,40,20,5,10,60,50,95
30代,女性,0.498089493,-1.192969086,40,20,5,10,60,50,95
30代,女性,0.498089493,-1.192969086,40,20,5,10,60,50,95
30代,女性,0.498089493,-1.192969086,40,20,5,10,60,50,95
30代,女性,0.498089493,-1.192969086,40,20,5,10,60,50,95
30代,女性,0.498089493,-1.192969086,40,20,5,10,60,50,95
30代,女性,0.498089493,-1.192969086,40,20,5,10,60,50,95
30代,女性,0.498089493,-1.192969086,40,20,5,10,60,50,95
30代,女性,0.498089493,-1.192969086,40,20,5,10,60,50,95
30代,男性,0.839139228,0.688984441,30,100,70,50,75,60,80
30代,男性,0.839139228,0.688984441,30,100,70,50,75,60,80
30代,男性,0.839139228,0.688984441,30,100,70,50,75,60,80
30代,女性,0.839139228,0.688984441,30,100,70,50,75,60,80
30代,女性,0.839139228,0.688984441,30,100,70,50,75,60,80
30代,男性,0.839139228,0.688984441,30,100,70,50,75,60,80
30代,男性,0.839139228,0.688984441,30,100,70,50,75,60,80
30代,男性,0.839139228,0.688984441,30,100,70,50,75,60,80
30代,男性,0.839139228,0.688984441,30,100,70,50,75,60,80
30代,男性,0.839139228,0.688984441,30,100,70,50,75,60,80
30代,男性,0.839139228,0.688984441,30,100,70,50,75,60,80
20代,女性,1.219561872,1.420443687,0,95,95,100,80,70,95
20代,女性,1.219561872,1.420443687,0,95,95,100,80,70,95
20代,女性,1.219561872,1.420443687,0,95,95,100,80,70,95
20代,男性,1.219561872,1.420443687,0,95,95,100,80,70,95
