ブランド名,名前,カロリー,コレステロールg,塩分mg,炭水化物g,食物繊維g,糖分g,タンパク質g,hclus.label,KMeans
M&M/Mars,Snickers Peanut Butter,310,5,150,28,1,23,6,1,2
M&M/Mars,Twix Peanut Butter,260,5,130,26,2,17,5,1,2
Hershey,Twizzler,190,0,150,42,0,24,2,1,2
Hershey,Twix Caramel,280,5,115,37,0,27,3,1,2
Pearson,Peanut Nut Roll,340,0,210,40,2,29,9,1,2
Brown & Haley,Almond Roca,270,20,160,25,0,23,2,1,2
Leaf,Payday,240,0,170,28,1,16,7,1,2
Hershey,Rolo,260,10,95,35,0,30,2,2,3
Nestle,Butterfinger,280,0,120,41,1,40,4,1,2
Hershey,Reese's Peanut Butter Cup,240,2,150,24,1,19,5,1,2
Nestle,Baby Ruth,280,0,135,38,2,25,4,1,2
M&M/Mars,3 Musketeers,260,5,110,46,1,40,2,2,2
Leaf,Whoppers,230,0,130,36,1,28,2,1,2
Hershey,5th Avenue,280,2,95,38,1,26,5,2,2
Standard,Peanut Butter GooGoo,262,0,164,24,0,19,7,1,2
M&M/Mars,Snickers Munch,230,10,150,17,2,12,6,1,2
M&M/Mars,Milky Way,280,5,90,43,1,37,2,2,2
Annabelle,Abba-Zabba,250,0,85,48,1,23,2,2,3
M&M/Mars,Whatchamacallit,250,5,125,29,1,19,4,1,2
Leaf,Heath,210,20,180,25,0,24,2,1,2
Annabelle,Big Hunk,230,0,150,47,1,23,3,1,2
Hershey,Cookies 'n' Mint,230,10,80,27,1,21,4,2,3
Hershey,Cadbury Dairy Milk,220,10,45,24,1,21,3,3,1
Nestle,Crunch,230,5,60,28,1,23,3,2,3
Hershey,Almond Joy,230,2,85,25,3,17,2,2,3
M&M/Mars,M&Ms Peanut,250,5,25,30,2,25,5,3,1
M&M/Mars,Mars,240,5,70,31,1,26,3,2,3
Sherwood,Elana Mocca,230,20,35,27,1,26,3,3,1
Hershey,Bar None,250,5,55,25,1,18,4,3,3
Just Born,Super Hot Tamales,220,0,25,55,0,34,0,3,1
Myerson,Big Cherry,230,0,36,31,1,1,4,3,1
Annabelle,U-No (Green),250,4,45,22,1,20,3,3,1
M&M/Mars,Skittles,250,0,10,56,0,47,0,3,1
Hershey,Reese's Peanut Butter Cup Crunchy,250,3,75,21,2,16,6,2,3
M&M/Mars,Dove,230,10,30,25,1,24,3,3,1
Annabelle,U-No (Blue),250,4,45,22,1,20,3,3,1
Hershey,Symphony (Blue),240,10,60,22,1,19,4,3,3
Tootsie,Charleston Chew,230,0,50,40,1,30,2,3,1
Hershey,Mound,250,0,80,31,3,21,2,2,3
Hershey,Cadbury Roast Almond,220,10,80,21,1,18,4,2,3
M&M/Mars,Milky Way Dark,220,5,85,36,1,30,1,2,3
Nabisco,Planters Original Peanut Bar,230,0,70,22,2,13,6,2,3
Hershey,Milk Chocolate,230,10,40,25,1,22,3,3,1
M&M/Mars,M&Ms Plain,230,10,35,34,1,31,2,3,1
Hershey,Cadbury Fruit & Nut,210,5,45,24,1,21,3,3,1
Hershey,Kisses,210,10,35,23,1,20,3,3,1
Hershey,Symphony (Red),230,10,40,24,0,21,3,3,1
M&M/Mars,M&Ms Peanut Butter,240,5,95,27,2,22,5,2,3
Hershey,Reese's Pieces,230,0,75,28,1,24,6,2,3
Hershey,Reese's Nutrageous,240,3,85,22,1,18,7,2,3
M&M/Mars,Snickers,170,5,85,21,1,17,3,2,3
Charms,Sugar Daddy,200,2,100,43,0,28,1,2,3
Bit-O-Honey,Bit-O-Honey,200,0,105,41,0,20,1,2,3
Nestle,100 Grand,200,10,75,30,0,27,2,2,3
Hershey,Skor,220,20,110,23,0,21,2,2,3
M&M/Mars,Milky Way Lite,160,0,100,33,0,23,2,2,3
Weider,Tiger Milk,160,0,90,20,0,16,6,2,3
Weider,Tiger Sport,125,0,55,21,2,11,6,2,1
Annabelle,Look!,190,0,90,33,1,17,2,2,3
Hershey,Cadbury Caramello,190,10,55,25,0,19,2,2,1
Tobler,Toblerone,190,5,25,21,0,19,2,3,1
Sherwood,Elana Mint,200,15,10,29,2,26,2,3,1
Nestle,Raisinet,200,3,15,31,2,28,2,3,1
Adams & Brooks,Cup O Gold,160,3,10,23,0,19,1,3,1
Hershey,York Peppermint Patty,170,0,15,33,0,23,1,3,1
Tootsie,Jr Mints,190,0,10,38,0,37,0,3,1
Hershey,Kisses Almond,210,5,25,19,1,17,4,3,1
M&M/Mars,M&Ms Almond,200,5,15,21,2,18,3,3,1
Nestle,Chunky,200,3,20,22,2,20,3,3,1
Hershey,Krackel,390,10,110,45,1,35,5,4,4
Hershey,Mr. Goodbar,420,10,35,34,3,28,9,4,4
Hershey,Golden Collection,450,10,45,37,3,29,9,4,4
Hershey,KitKat,410,10,65,48,1,33,5,4,4
Hershey,Special Dark,410,0,5,44,4,34,4,4,4
Hershey,Milk Chocolate Almond,410,15,55,38,2,31,8,4,4
