"","ビジネス度","都会生活度","非高齢化度"
"千代田区",6.28952955010328,-0.0275868547393106,-0.149562215981035
"中央区",1.9785008946661,0.380486666220297,2.10770145746573
"港区",0.959173252029869,0.896833027109015,1.60982971289405
"新宿区",0.108925126662515,1.56191154712246,0.54995539699707
"文京区",-0.259646528667222,1.05477355870532,0.679235552061496
"台東区",0.559442656219316,1.39462583469898,-1.15247627396439
"墨田区",-0.0616817362208492,0.673131426554124,-0.456751708876876
"江東区",-0.240627283082363,0.130663210459178,-0.0121624995219646
"品川区",-0.288504431336103,0.898379753222801,0.374448282955141
"目黒区",-0.543939982545352,0.996072929466164,1.27258737468214
"大田区",-0.2158388327046,0.383747424657191,-0.408010983460242
"世田谷区",-0.540403353867392,0.370973040457136,0.839143820472203
"渋谷区",0.28188871287942,1.65272846609404,0.928721734318484
"中野区",-0.611870679053156,1.44298689661766,0.915149195498186
"杉並区",-0.462077031893475,1.64621873591713,-0.604875212284253
"豊島区",-0.289235033263794,1.46453099401585,0.312882430119811
"北区",-0.158709109144374,1.62315152487085,-2.17193894650665
"荒川区",-0.0879153450544703,0.632385909410931,-1.35809037494833
"板橋区",-0.253579022973056,0.708551199376105,-0.925024644803602
"練馬区",-0.403807277122746,-0.151484720647028,0.388270013791316
"足立区",0.0221000684402303,0.180164963549151,-2.06788582668828
"葛飾区",-0.0298661032794086,-0.0115934322381824,-1.50588116437943
"江戸川区",-0.279638466879364,-0.735431315136068,0.390862615666524
"八王子市",-0.0996713865078794,-1.19947708666339,-0.0467825803567967
"立川市",-0.12101877447493,-0.177891696497471,-0.103027832669275
"武蔵野市",-0.232449747585113,0.707217360306021,0.480050928202496
"三鷹市",-0.502386686531393,-0.0133683009544007,1.05009745429778
"青梅市",0.0894123285477504,-1.96221810974999,-0.364248750338948
"府中市",-0.355487880874593,-0.681085313466434,0.963194707841932
"昭島市",-0.0884886372013836,-0.685701166655981,-0.523373265015157
"調布市",-0.457058102491606,-0.0226062214929007,0.813580803109539
"町田市",-0.114558365026929,-0.896725464201514,-0.497786839027213
"小金井市",-0.553205122218733,0.0878225359396987,1.0582755384542
"小平市",-0.319514093045489,-0.441150657524286,0.170051146746489
"日野市",-0.308764705221908,-0.655460556175814,0.176919321301987
"東村山市",-0.117527413344772,-0.604472492533922,-1.00509272319019
"国分寺市",-0.516158616194142,-0.249588776917455,1.46269442733948
"国立市",-0.325528804264832,0.0766323208988725,0.375560107619907
"福生市",-0.117075838007329,-0.182515333851227,-0.6738416241267
"狛江市",-0.447201924587736,0.549907778288799,-0.127769793497959
"東大和市",-0.0698750860745433,-0.830438296939513,-0.634392093874919
"清瀬市",0.014032577921669,-0.0554806024694142,-2.22639239489401
"東久留米市",-0.0962839246356029,-0.204713000034886,-1.6621850143276
"武蔵村山市",0.0177975194423841,-1.41725159998998,-0.310523763277993
"多摩市",-0.233301151191271,-0.799006610556132,0.0526591207539211
"稲城市",-0.318010895225244,-1.49610046537832,1.2656504005586
"羽村市",-0.0822472889027314,-1.41861419987827,0.514181113043437
"あきる野市",0.0454418746235132,-2.01009549840836,-0.220648725189696
"西東京市",-0.322066023771539,-0.448273516998154,0.182568192879242
"瑞穂町",0.158976122931387,-2.13556581385937,0.274454402130331
