country_region_code,country_region,sub_region_1,sub_region_2,date,解析日,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,VAR00002,VAR00003,VAR00004,VAR00005,VAR00006,VAR00007
JP,Japan, , ,2/15/2020, ,-1,4,7,1,4,0, , , , , , 
JP,Japan, , ,2/16/2020, ,-9,-6,-35,-10,-2,2, , , , , , 
JP,Japan, , ,2/17/2020, ,-2,1,-5,-1,0,1, , , , , , 
JP,Japan, , ,2/18/2020, ,1,2,1,-2,0,1, , , , , , 
JP,Japan, , ,2/19/2020, ,0,2,8,-3,0,0, , , , , , 
JP,Japan, , ,2/20/2020, ,1,4,4,-3,0,0, , , , , , 
JP,Japan, , ,2/21/2020, ,-1,2,7,-2,0,1, , , , , , 
JP,Japan, , ,2/22/2020, ,-5,1,-10,-3,-1,2, , , , , , 
JP,Japan, , ,2/23/2020, ,1,3,16,2,0,0, , , , , , 
JP,Japan, , ,2/24/2020, ,18,4,54,-27,-55,14, , , , , , 
JP,Japan, , ,2/25/2020, ,0,7,0,-2,1,1, , , , , , 
JP,Japan, , ,2/26/2020, ,-4,3,-5,-5,1,1, , , , , , 
JP,Japan, , ,2/27/2020, ,-3,6,-4,-7,0,1, , , , , , 
JP,Japan, , ,2/28/2020, ,-2,14,-4,-10,1,2, , , , , , 
JP,Japan, , ,2/29/2020, ,-10,9,-22,-21,3,4, , , , , , 
JP,Japan, , ,3/1/2020, ,-10,9,-1,-23,1,4, , , , , , 
JP,Japan, , ,3/2/2020, ,-10,3,-15,-15,-2,4, , , , , , 
JP,Japan, , ,3/3/2020, ,-2,9,11,-15,-2,4, , , , , , 
JP,Japan, , ,3/4/2020, ,-12,-2,-21,-19,-4,5, , , , , , 
JP,Japan, , ,3/5/2020, ,-9,3,-8,-18,-4,4, , , , , , 
JP,Japan, , ,3/6/2020, ,-9,2,5,-18,-4,5, , , , , , 
JP,Japan, , ,3/7/2020, ,-12,2,-8,-24,-4,5, , , , , , 
JP,Japan, , ,3/8/2020, ,-17,-4,-35,-31,-5,6, , , , , , 
